* Problem:    Airplane Landing Problem
* Class:      MIP
* Rows:       590
* Columns:    440 (380 integer, 380 binary)
* Non-zeros:  1960
* Format:     Free MPS
*
NAME Airplane_Landing_Problem
ROWS
 N Cost
 E bc0
 E bc1
 E bc2
 E bc3
 E bc4
 E bc5
 E bc6
 E bc7
 E bc8
 E bc9
 E bc10
 E bc11
 E bc12
 E bc13
 E bc14
 E bc15
 E bc16
 E bc17
 E bc18
 E bc19
 G S0,1
 G S1,0
 E E0,1
 G S0,2
 G S2,0
 E E0,2
 G S0,3
 G S3,0
 E E0,3
 G S0,4
 G S4,0
 E E0,4
 G S0,5
 G S5,0
 E E0,5
 G S0,6
 G S6,0
 E E0,6
 G S0,7
 G S7,0
 E E0,7
 G S0,8
 G S8,0
 E E0,8
 G S0,9
 G S9,0
 E E0,9
 G S0,10
 G S10,0
 E E0,10
 G S0,11
 G S11,0
 E E0,11
 G S0,12
 G S12,0
 E E0,12
 G S0,13
 G S13,0
 E E0,13
 G S0,14
 G S14,0
 E E0,14
 G S0,15
 G S15,0
 E E0,15
 G S0,16
 G S16,0
 E E0,16
 G S0,17
 G S17,0
 E E0,17
 G S0,18
 G S18,0
 E E0,18
 G S0,19
 G S19,0
 E E0,19
 G S1,2
 G S2,1
 E E1,2
 G S1,3
 G S3,1
 E E1,3
 G S1,4
 G S4,1
 E E1,4
 G S1,5
 G S5,1
 E E1,5
 G S1,6
 G S6,1
 E E1,6
 G S1,7
 G S7,1
 E E1,7
 G S1,8
 G S8,1
 E E1,8
 G S1,9
 G S9,1
 E E1,9
 G S1,10
 G S10,1
 E E1,10
 G S1,11
 G S11,1
 E E1,11
 G S1,12
 G S12,1
 E E1,12
 G S1,13
 G S13,1
 E E1,13
 G S1,14
 G S14,1
 E E1,14
 G S1,15
 G S15,1
 E E1,15
 G S1,16
 G S16,1
 E E1,16
 G S1,17
 G S17,1
 E E1,17
 G S1,18
 G S18,1
 E E1,18
 G S1,19
 G S19,1
 E E1,19
 G S2,3
 G S3,2
 E E2,3
 G S2,4
 G S4,2
 E E2,4
 G S2,5
 G S5,2
 E E2,5
 G S2,6
 G S6,2
 E E2,6
 G S2,7
 G S7,2
 E E2,7
 G S2,8
 G S8,2
 E E2,8
 G S2,9
 G S9,2
 E E2,9
 G S2,10
 G S10,2
 E E2,10
 G S2,11
 G S11,2
 E E2,11
 G S2,12
 G S12,2
 E E2,12
 G S2,13
 G S13,2
 E E2,13
 G S2,14
 G S14,2
 E E2,14
 G S2,15
 G S15,2
 E E2,15
 G S2,16
 G S16,2
 E E2,16
 G S2,17
 G S17,2
 E E2,17
 G S2,18
 G S18,2
 E E2,18
 G S2,19
 G S19,2
 E E2,19
 G S3,4
 G S4,3
 E E3,4
 G S3,5
 G S5,3
